N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
105,CJ,"79,500",600,-0.75%,"5,000","23,196","29,177",18.89,"40,885",13.21,6.24,
106,팬오션,"4,335",225,+5.47%,"1,000","23,174","534,570",11.27,"6,234,989",17.13,5.49,
107,만도,"49,150",800,+1.65%,"1,000","23,079","46,957",24.97,"670,230",-41.62,7.55,
108,신세계,"231,500","1,000",+0.43%,"5,000","22,792","9,845",25.94,"39,422",-7.44,14.24,
109,한샘,"96,700",300,-0.31%,"1,000","22,757","23,534",23.21,"14,811",33.95,7.32,
110,하이트진로,"32,050",400,-1.23%,"5,000","22,478","70,134",10.13,"259,293",30.29,-3.86,
111,KODEX 200선물인버스2X,"3,240",45,+1.41%,0,"22,476","693,700",0.85,"116,956,880",N/A,N/A,
112,씨에스윈드,"128,500","1,000",-0.77%,500,"22,212","17,286",8.72,"117,899",42.42,9.92,
113,일진머티리얼즈,"47,000",150,+0.32%,500,"21,672","46,111",7.99,"328,558",48.76,8.52,
114,BGF리테일,"124,500","3,000",-2.35%,"1,000","21,518","17,284",31.32,"33,880",16.45,26.46,
115,LS,"64,400","3,300",+5.40%,"5,000","20,737","32,200",11.89,"339,430",-894.44,0.80,
116,현대차우,"85,000",600,+0.71%,"5,000","20,703","24,357",55.02,"114,408",20.31,N/A,
117,현대해상,"22,900",300,-1.29%,500,"20,473","89,400",39.93,"281,450",6.73,6.23,
118,오뚜기,"556,000","5,000",-0.89%,"5,000","20,416","3,672",16.24,"3,671",18.79,7.79,
119,KODEX 단기채권,"102,565",0,0.00%,0,"19,971","19,472",3.08,"10,180",N/A,N/A,
